Token,accord,
PTITB,B-PER,
JLANN,,
"
",,
IL,,
DRV0IR,,
.,,
"
",,
PHEIIIkI,,
PAIII,,
.,,
"
",,
EMANCE,,
DE,,
JEANME,B-PER,
0,,
"
",,
a,B-PER,
mbre,PER,
Nannette,PER,
.,,
"
",,
Il,,
y,,
avait,,
dans,,
un,,
bousrg,,
du,,
dpartenent,,
du,,
"
",,
tCher,LOC,
une,,
bonne,,
veuve,,
ag6e,,
de,,
soixante,,
ans,,
0,,
qu',,
on,,
"
",,
appelait,,
la,PER,
mbre,PER,
Nunnette,PER,
.,,
Llle,,
poss6dait,,
une,,
petite,,
"
",,
maison,,
aves,,
une,,
petite,,
chneire,,
et,,
un,,
jardin,,
"
",,
plante,,
de,,
pommiers,,
0,,
de,,
pruniers,,
et,,
de,,
groseilliers,,
.,,
"
",,
Du,,
cbt6,,
du,,
chemin,,
0,,
un,,
gros,,
noyer,,
0,,
qui,,
avait,,
plus,,
"
",,
de,,
cent,,
ans,,
0,,
ombruageait,,
le,,
davant,,
de,,
sa,,
porte,,
.,,
"
",,
Quand,,
les,,
fleurs,,
de,,
cet,,
arbre,,
ne,,
gelaient,,
pas,,
au,,
"
",,
printemps,,
0,,
il,,
donnait,,
assez,,
de,,
noix,,
a,,
la,PER,
mere,PER,
],,
"
",,
Nannette,PER,
pour,,
qu',,
elle,,
et,,
sa,,
provision,,
d',,
huile,,
l',,
an-,,
],,
"
",,
nee,,
suivante,,
.,,
Sil,,
se,,
faisait,,
deux,,
bonnes,,
r6eoltes,,
"
",,
de,,
suite,,
0,,
elle,,
vendait,,
une,,
partie,,
des,,
noix,,
0,,
ce,,
qui,,
"
",,
lui,,
donnait,,
un,,
petit,,
profit,,
.,,
Quoiquell,,
poss6dht,,
"
",,
une,,
vigne,,
et,,
un,,
bssu,,
morceau,,
de,,
terre,,
0,,
elle,,
n',,
a-,,
"
",,
vait,,
qe,,
bien,,
juste,,
ee,,
qu',,
il,,
lui,,
fllait,,
pour,,
vire,,
.,,
PREMIIRR,,
PAHR,,
.,,
"
",,
lla,,
samait,,
du,,
fromant,,
daux,,
anneas,,
de,,
suite,,
dans,,
"
",,
eon,,
ehamp,,
0,,
gqui,,
0,,
la,,
troisime,,
0,,
rapportait,,
alterna-,,
"
",,
tivement,,
du,,
trbfle,,
et,,
des,,
pmmes,,
do,,
tenre,,
.,,
Klle,,
"
",,
resoltait,,
asse,,
de,,
hl6,,
pour,,
so,,
nourrir,,
pondant,,
0,,
les,,
"
",,
trois,,
ans,,
.,,
ais,,
si,,
lanne,,
atait,,
mauvaise,,
0,,
la,PER,
mbre,PER,
"
",,
Nannetts,PER,
venduit,,
la,,
pibce,,
de,,
toile,,
quelle,,
avait,,
fait,,
"
",,
faire,,
aveoe,,
le,,
ohanvre,,
amass,,
et,,
fll6,,
pandant,,
quuatra,,
"
",,
uns,,
.,,
Largent,,
quella,,
en,,
retirait,,
lui,,
servait,,
a,,
com-,,
"
",,
plter,,
sa,,
provision,,
de,,
bl6,,
;,,
et,,
0,,
mlgr6,,
tout,,
cela,,
0,,
"
",,
elle,,
ptiassit,,
bien,,
un,,
peu,,
l',,
hiver,,
.,,
"
",,
Pour,,
que,,
In,,
terre,,
rapporte,,
chaque,,
annee,,
sans,,
"
",,
se,,
reposer,,
0,,
il,,
faut,,
baaucoup,,
de,,
fumier,,
;,,
la,PER,
mre,PER,
"
",,
Nannette,PER,
0,,
qui,,
le,,
savait,,
bien,,
0,,
avait,,
une,,
vache,,
et,,
"
",,
une,,
ohbvre,,
quelle,,
menait,,
paltre,,
sur,,
les,,
commu-,,
"
",,
naux,,
et,,
le,,
long,,
des,,
haies,,
.,,
Avee,,
leur,,
lait,,
elle,,
faisait,,
"
",,
du,,
beurre,,
et,,
des,,
fromages,,
0,,
quelle,,
vendait,,
h,,
la,,
"
",,
ville,,
voisine,,
.,,
Quand,,
ses,,
b8tes,,
etaient,,
rentres,,
"
",,
l6table,,
0,,
elle,,
allait,,
chereher,,
pour,,
elles,,
de,,
lherhe,,
"
",,
dans,,
les,,
ehamps,,
et,,
au,,
bord,,
des,,
ruisseaux,,
.,,
Commae,,
"
",,
elle,,
les,,
tenait,,
bien,,
proprement,,
0,,
elles,,
etaient,,
en,,
bon,,
"
",,
6tat,,
.,,
Lhiver,,
0,,
elles,,
mangeaient,,
ou,,
du,,
trfle,,
qui,,
"
",,
avait,,
6te,,
rentr6,,
bien,,
seo,,
0,,
ou,,
du,,
regain,,
recolt6,,
aprs,,
"
",,
li,,
fuche,,
des,,
grands,,
foins,,
.,,
"
",,
lLa,PER,
mbre,PER,
Nannette,PER,
vendait,,
son,,
vin,,
et,,
ne,,
buvait,,
"
",,
que,,
sa,,
boisson,,
,,
;,,
mais,,
0,,
comme,,
l',,
argent,,
qu',,
ella,,
ti-,,
"
",,
rait,,
de,,
son,,
vin,,
suffisait,,
bien,,
juste,,
0,,
aveo,,
oelui,,
de,,
"
",,
son,,
beurre,,
et,,
de,,
ses,,
fremages,,
0,,
a,,
payer,,
l',,
imp6,,
t,,
et,,
"
",,
les,,
fagons,,
de,,
son,,
ehamp,,
et,,
de,,
savigne,,
0,,
at,,
qu',,
il,,
lui,,
"
",,
fllait,,
oneore,,
se,,
procurer,,
quelque,,
argent,,
pour,,
son,,
"
",,
entretien,,
0,,
elle,,
levait,,
des,,
oisons,,
quelle,,
achetait,,
"
",,
1,,
.,,
Hau,,
passee,,
sur,,
la,,
