Token_7,Label_7,Token_6,Label_6,Token_4,Label_4,Token_1,Label_1,Token_2,Label_2,Token_3,Label_3
Languedoc,LOC,Languedoc,LOC,Languedoc,LOC,Languedoc,LOC,Languedoc,LOC,Languedoc,LOC
Midi,LOC,Midi,LOC,Midi,LOC,Midi,LOC,Midi,LOC,Midi,LOC
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Eyssette,ORG,Eyssette,ORG,Eyssette,LOC,Eyssette,LOC,Eyssette,LOC,Eyssette,LOC
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER
Marseille,LOC,Marseille,LOC,Marseille,LOC,Marseille,LOC,Marseille,LOC,Marseille,LOC
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Marseille,LOC,Marseille,LOC,Marseille,LOC,Marseille,LOC,Marseille,LOC,Marseille,LOC
Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER,Daniel,LOC
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Marseille,LOC,Marseille,LOC,Marseille,LOC,Marseille,LOC,Marseille,LOC,Marseille,LOC
Baptiste,PER,Baptiste,PER,Baptiste,PER,Baptiste,PER,Baptiste,PER,Baptiste,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Eyssette,ORG,Eyssette,ORG,Eyssette,LOC,Eyssette,LOC,Eyssette,LOC,Eyssette,LOC
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER
Révolution,MISC,Révolution,MISC,Révolution,MISC,Révolution,MISC,Révolution,MISC,Révolution,MISC
Eyssette,ORG,Eyssette,ORG,Eyssette,LOC,Eyssette,LOC,Eyssette,LOC,Eyssette,LOC
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Robinson,PER,Robinson,MISC,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Robinson,PER,Robinson,MISC,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Récollets,ORG,Récollets,PER,Récollets,LOC,Récollets,MISC,Récollets,LOC,Récollets,LOC
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
saint,PER,saint,PER,saint,PER,saint,MISC,saint,PER,saint,MISC
Paul,PER,Paul,PER,Paul,PER,Paul,MISC,Paul,PER,Paul,MISC
Récollets,ORG,Récollets,PER,Récollets,LOC,Récollets,MISC,Récollets,LOC,Récollets,LOC
Lucifer,PER,Lucifer,MISC,Lucifer,PER,Lucifer,MISC,Lucifer,MISC,Lucifer,MISC
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Dieu,PER,Dieu,MISC,Dieu,MISC,Dieu,MISC,Dieu,MISC,Dieu,MISC
Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER,Rouget,PER
Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Baptiste,PER,Baptiste,PER,Baptiste,PER,Baptiste,PER,Baptiste,PER,Baptiste,PER
Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Baptiste,PER,Baptiste,PER,Baptiste,PER,Baptiste,PER,Baptiste,PER,Baptiste,PER
Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,PER,Robinson,MISC
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER
Beaucaire,LOC,Beaucaire,LOC,Beaucaire,LOC,Beaucaire,ORG,Beaucaire,LOC,Beaucaire,LOC
Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER,Colombe,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC
Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER,Daniel,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
Rhône,LOC,Rhône,LOC,Rhône,LOC,Rhône,LOC,Rhône,LOC,Rhône,LOC
Géniès,PER,Géniès,PER,Géniès,PER,Géniès,PER,Géniès,PER,Géniès,PER
Montélimart,PER,Montélimart,PER,Montélimart,PER,Montélimart,PER,Montélimart,PER,Montélimart,PER
Rhône,LOC,Rhône,LOC,Rhône,LOC,Rhône,LOC,Rhône,LOC,Rhône,LOC
Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC
Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC,Lyon,LOC
Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER,Jacques,PER
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER
Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER,Annou,PER
Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER,Eyssette,PER
