Token;Label;accord;
LA;;;
FABRIOUE;;;
"

";;;
EE;;;
"
";;;
Je;;;
suis;;;
ne;;;
le;;;
rg;;;
mai;;;
8;;;
...;;;
0;;;
dans;;;
une;;;
ville;;;
du;;;
Languedoc;LOC;LOC;
0;;;
oi;;;
l';;;
on;;;
"
";;;
trouve;;;
0;;;
comme;;;
dans;;;
toutes;;;
les;;;
villes;;;
du;;;
Midi;LOC;LOC;
0;;;
beaucoup;;;
de;;;
soleil;;;
0;;;
pas;;;
"
";;;
mal;;;
de;;;
poussiere;;;
0;;;
un;;;
couvent;;LOC;
de;;LOC;
Carmelites;LOC;LOC;
et;;;
deux;;;
ou;;;
trois;;;
monuments;;;
"
";;;
romains;;;
.;;;
"
";;;
Mon;;;
pere;;;
0;;;
M.;PER;PER;
Eyssette;PER;PER;
0;;;
qui;;;
faisait;;;
a;;;
cette;;;
epoque;;;
le;;;
commerce;;;
des;;;
"
";;;
foulards;;;
0;;;
avait;;;
0;;;
aux;;;
portes;;;
de;;;
la;;;
ville;;;
0;;;
une;;;
grande;;;
fabrique;;;
dans;;;
un;;;
pan;;;
"
";;;
de;;;
laquelle;;;
il;;;
s';;;
etait;;;
taille;;;
une;;;
habitation;;;
commode;;;
0;;;
tout;;;
ombragee;;;
de;;;
"
";;;
platanes;;;
et;;;
separee;;;
des;;;
ateliers;;;
par;;;
un;;;
vaste;;;
jardin;;;
.;;;
C';;;
est;;;
la;;;
que;;;
je;;;
suis;;;
"
";;;
venu;;;
au;;;
monde;;;
et;;;
que;;;
j';;;
ai;;;
passe;;;
les;;;
premieres;;;
0;;;
les;;;
seules;;;
bonnes;;;
annees;;;
"
";;;
de;;;
ma;;;
vie;;;
.;;;
Aussi;;;
ma;;;
memoire;;;
reconnaissante;;;
a;;;
-t;;;
-elle;;;
garde;;;
du;;;
jardin;;;
"
";;;
de;;;
la;;;
fabrique;;;
et;;;
des;;;
platanes;;;
un;;;
imperissable;;;
souvenir;;;
0;;;
et;;;
lorsqu';;;
a;;;
"
";;;
la;;;
ruine;;;
de;;;
mes;;;
parents;;;
il;;;
m';;;
a;;;
fallu;;;
me;;;
separer;;;
de;;;
ces;;;
choses;;;
0;;;
je;;;
les;;;
ai;;;
"
";;;
positivement;;;
regrettees;PER;NA;
comme;;;
des;;;
etres;;;
.;;;
"
";;;
Source;MISC;NA;
gallica.bnf.fr;MISC;NA;
 ;MISC;NA;
Bibliotheque;MISC;NA;
nationale;MISC;NA;
de;;;
FranceLE;PER;NA;
PETIT;PER;NA;
CHOSE;PER;NA;
"
";PER;NA;
Je;PER;NA;
dois;PER;NA;
dire;PER;NA;
0;;;
pour;;;
commencer;;;
0;;;
que;;;
ma;;;
naissance;;;
ne;;;
porta;;;
pas;;;
"
";;;
bonheur;;;
a;;;
la;;NA;
maison;;LOC;
Eyssette;LOC;LOC;
.;;;
La;;PER;
vieille;;PER;
Annou;LOC;PER;
0;;;
notre;;;
cuisiniere;;;
0;;;
m';;;
a;;;
"
";;;
souvent;;;
conte;;;
depuis;;;
comme;;;
quoi;;;
mon;;;
pere;;;
0;;;
en;;;
voyage;;;
a;;;
ce;;;
moment;;;
0;;;
"
";;;
recut;;;
en;;;
meme;;;
temps;;;
la;;;
nouvelle;;;
de;;;
mon;;;
apparition;;;
dans;;;
le;;;
monde;;;
et;;;
"
";;;
celle;;;
de;;;
la;;;
disparition;;;
d';;;
un;;;
de;;;
ses;;;
clients;;;
de;;;
Marseille;LOC;LOC;
0;;;
qui;;;
lui;;;
emportait;;;
"
";;;
plus;;;
de;;;
quarante;;;
mille;;;
francs;;;
";";;;
si;;;
bien;;;
que;;;
M.;PER;PER;
Eyssette;PER;PER;
0;;;
heureux;;;
et;;;
"
";;;
desole;;;
du;;;
meme;;;
coup;;;
0;;;
se;;;
demandait;;;
0;;;
comme;;;
l';;;
autre;;;
0;;;
s';;;
il;;;
devait;;;
pleurer;;;
"
";;;
pour;;;
la;;;
disparition;;;
du;;;
client;;;
de;;;
Marseille;LOC;LOC;
0;;;
ou;;;
rire;;;
pour;;;
l';;;
heureuse;;;
"
";;;
arrivee;;;
du;;;
petit;;;
Daniel;PER;PER;
...;;;
Il;;;
fallait;;;
pleurer;;;
0;;;
mon;;;
bon;;;
monsieur;;PER;
Eyssette;PER;PER;
0;;;
"
";;;
il;;;
fallait;;;
pleurer;;;
doublement;;;
.;;;
"
";;;
C';;;
est;;;
une;;;
verite;;;
0;;;
je;;;
fus;;;
la;;;
mauvaise;;;
etoile;;;
de;;;
mes;;;
parents;;;
.;;;
Du;;;
jour;;;
"
";;;
de;;;
ma;;;
naissance;;;
0;;;
d';;;
incroyables;;;
malheurs;;;
les;;;
assaillirent;;;
par;;;
vingt;;;
"
";;;
endroits;;;
.;;;
D';;;
abord;;;
nous;;;
emes;;;
donc;;;
le;;;
client;;;
de;;;
Marseille;LOC;LOC;
0;;;
puis;;;
deux;;;
"
";;;
fois;;;
le;;;
feu;;;
dans;;;
la;;;
meme;MISC;NA;
annee;MISC;NA;
0;;;
puis;;;
la;;;
greve;;;
des;;;
ourdisseuses;;;
0;;;
puis;;;
"
";;;
notre;;;
brouille;;;
avec;;;
l';;PER;
oncle;;PER;
Baptiste;PER;PER;
0;;;
puis;;;
un;;;
proces;;;
tres;;;
coteux;;;
avec;;;
"
";;;
nos;;;
marchands;;;
de;;;
couleurs;;;
0;;;
puis;;;
0;;;
enfin;;;
0;;;
la;;;
Revolution;MISC;MISC;
de;MISC;NA;
r8;MISC;NA;
...;;;
0;;;
qui;;;
"
";;;
nous;;;
donna;;;
le;;;
coup;MISC;NA;
de;MISC;NA;
grace;MISC;NA;
.;;;
"
";;;
A;LOC;NA;
partir;;;
de;;;
ce;;;
moment;;;
0;;;
la;;;
fabrique;;;
ne;;;
battit;;;
plus;;;
que;;;
d';;;
une;;;
aile;;;
";";;;
"
";;;
petit;;;
a;;;
petit;;;
0;;;
les;;;
ateliers;;;
se;;;
viderent;;;
:;;;
chaque;;;
semaine;;;
un;;;
metier;;;
a;;;
bas;;;
0;;;
"
";;;
chaque;;;
mois;;;
une;;;
table;;;
d';;;
impression;;;
de;;;
moins;;;
.;;;
C';;;
etait;;;
pitie;;;
de;;;
voir;;;
"
";;;
la;;;
vie;;;
s';;;
en;;;
aller;;;
de;;;
notre;;;
maison;;;
comme;;;
d';;;
un;;;
corps;;;
malade;;;
0;;;
lentement;;;
0;;;
"
";;;
tous;;;
les;;;
jours;;;
un;;;
peu;;;
.;;;
Une;;;
fois;;;
0;;;
on;;;
n';;;
entra;;;
plus;;;
dans;;;
les;;;
salles;;;
du;;;
"
";;;
second;;;
.;;;
Une;;;
autre;;;
fois;;;
0;;;
la;;;
cour;;;
du;;;
fond;;;
fut;;;
condamnee;PER;NA;
.;;;
Cela;;;
dura;;;
"
";;;
ainsi;;;
pendant;;;
deux;;;
ans;;;
";";;;
pendant;;;
deux;;;
ans;;;
0;;;
la;;;
fabrique;;;
agonisa;;;
.;;;
Enfin;;;
0;;;
"
";;;
un;;;
jour;;;
0;;;
les;;;
ouvriers;;;
ne;;;
vinrent;;;
plus;;;
0;;;
la;;;
cloche;;;
des;;;
ateliers;;;
ne;;;
sonna;;;
"
";;;
pas;;;
0;;;
le;;;
puits;;;
a;;;
roue;;;
cessa;;;
de;;;
grincer;;;
0;;;
l';;;
eau;;;
des;;;
grands;;;
bassins;;;
0;;;
dans;;;
"
";;;
lesquels;;;
on;;;
lavait;;;
les;;;
tissus;;;
0;;;
demeura;;;
immobile;;;
0;;;
et;;;
bientot;;;
0;;;
dans;;;
toute;;;
"
";;;
la;;;
fabrique;;;
0;;;
il;;;
ne;;;
resta;;;
plus;;;
que;;;
