Token;Label_AB;Label_AA;Label_CF;Label_LM;Label_MB
PTITB;PER;PER;;PER;MISC
JLANN;PER;PER;;PER;
"
";;;;;
IL;;;;;
DRV0IR;;;;;
.;;;;;
"
";;;;;
PHEIIIkI;;;;;
PAIII;;;;;
.;;;;;
"
";;;;;
EMANCE;;;;;PER
DE;;;;;PER
JEANME;PER;PER;PER;PER;PER
,;;;;;
"
";;;;;
a;PER;PER;PER;;
mbre;PER;PER;PER;;PER
Nannette;PER;PER;PER;PER;PER
.;;;;;
"
";;;;;
Il;;;;;
y;;;;;
avait;;;;;
dans;;;;;
un;;;;;
bousrg;;;;;
du;;;;LOC;
dpartenent;LOC;;;LOC;
du;LOC;;;LOC;
"
";;;;;
tCher;LOC;LOC;;LOC;LOC
une;;;;;
bonne;;;;;
veuve;;;;;
ag6e;;;;;MISC
de;;;;;MISC
soixante;;;;;MISC
ans;;;;;MISC
,;;;;;
qu';;;;;
on;;;;;
"
";;;;;
appelait;;;;;
la;PER;PER;PER;PER;
mbre;PER;PER;PER;PER;LOC
Nunnette;PER;PER;PER;PER;PER
.;;;;;
Llle;;;;;LOC
poss6dait;;;;;
une;;;;;
petite;;;;;
"
";;;;;
maison;;;;;
aves;;;;;
une;;;;;
petite;;;;;
chneire;;;;;
et;;;;;
un;;;;;
jardin;;;;;
"
";;;;;
plante;;;;;
de;;;;;
pommiers;;;;;
,;;;;;
de;;;;;
pruniers;;;;;
et;;;;;
de;;;;;
groseilliers;;;;;
.;;;;;
"
";;;;;
Du;;;;;
cbt6;;;;;
du;;;;;
chemin;;;;;
,;;;;;
un;;;;;
gros;;;;;
noyer;;;;;
,;;;;;
qui;;;;;
avait;;;;;
plus;;;;;
"
";;;;;
de;;;;;
cent;MISC;;;;
ans;MISC;;;;
,;;;;;
ombruageait;;;;;
le;;;;;
davant;;;;;
de;;;;;
sa;;;;;
porte;;;;;
.;;;;;
"
";;;;;
Quand;;;;;
les;;;;;
fleurs;;;;;
de;;;;;
cet;;;;;
arbre;;;;;
ne;;;;;
gelaient;;;;;
pas;;;;;
au;;;;;
"
";;;;;
printemps;MISC;;;;
,;;;;;
il;;;;;
donnait;;;;;
assez;;;;;
de;;;;;
noix;;;;;
a;;;;;
la;PER;PER;PER;;PER
mere;PER;PER;PER;;PER
];;;PER;;
"
";;;PER;;
Nannette;PER;PER;PER;PER;PER
pour;;;;;
qu';;;;;
elle;;;;;
et;;;;;
sa;;;;;
provision;;;;;
d';;;;;
huile;;;;;
l';;;;;
an-;MISC;;;;
];;;;;
"
";;;;;
nee;MISC;;;;
suivante;MISC;;;;
.;;;;;
Sil;;;;;
se;;;;;
faisait;;;;;
deux;;;;;
bonnes;;;;;
r6eoltes;;;;;
"
";;;;;
de;;;;;
suite;;;;;
,;;;;;
elle;;;;;
vendait;;;;;
une;;;;;
partie;;;;;
des;;;;;
noix;;;;;
,;;;;;
ce;;;;;
qui;;;;;
"
";;;;;
lui;;;;;
donnait;;;;;
un;;;;;
petit;;;;;
profit;;;;;
.;;;;;
Quoiquell;;;;;
poss6dht;;;;;
"
";;;;;
une;;;;;
vigne;;;;;
et;;;;;
un;;;;;
bssu;;;;;
morceau;;;;;
de;;;;;
terre;;;;;
,;;;;;
elle;;;;;
n';;;;;
a-;;;;;
"
";;;;;
vait;;;;;
