Token;Label_LM;Label_CF;Label_MB
LA;;;
FABRIOUE;;;
"

";;;
EE;;;
"
";;;
Je;;;
suis;;;
ne;;;
le;;;
rg;;;
mai;;;
8;;;
...;;;
,;;;
dans;;;
une;;;
ville;;;
du;;;
Languedoc;LOC;LOC;LOC
,;;;
oi;;;
l';;;
on;;;
"
";;;
trouve;;;
,;;;
comme;;;
dans;;;
toutes;;;
les;;;
villes;;;
du;;;
Midi;LOC;LOC;LOC
,;;;
beaucoup;;;
de;;;
soleil;;;
,;;;
pas;;;
"
";;;
mal;;;
de;;;
poussiere;;;
,;;;
un;;;
couvent;;LOC;LOC
de;;LOC;LOC
Carmelites;LOC;LOC;LOC
et;;;
deux;;;
ou;;;
trois;;;
monuments;;;
"
";;;
romains;;;
.;;;
"
";;;
Mon;;;
pere;;;
,;;;
M.;PER;PER;PER
Eyssette;PER;PER;PER
,;;;
qui;;;
faisait;;;
a;;;
cette;;;
epoque;;;
le;;;
commerce;;;
des;;;
"
";;;
foulards;;;
,;;;
avait;;;
,;;;
aux;;;
portes;;;
de;;;
la;;;
ville;;;
,;;;
une;;;
grande;;;
fabrique;;;
dans;;;
un;;;
pan;;;
"
";;;
de;;;
laquelle;;;
il;;;
s';;;
etait;;;
taille;;;
une;;;
habitation;;;
commode;;;
,;;;
tout;;;
ombragee;;;
de;;;
"
";;;
platanes;;;
et;;;
separee;;;
des;;;
ateliers;;;
par;;;
un;;;
vaste;;;
jardin;;;
.;;;
C';;;
est;;;
la;;;
que;;;
je;;;
suis;;;
"
";;;
venu;;;
au;;;
monde;;;
et;;;
que;;;
j';;;
ai;;;
passe;;;
les;;;
premieres;;;
,;;;
les;;;
seules;;;
bonnes;;;
annees;;;
"
";;;
de;;;
ma;;;
vie;;;
.;;;
Aussi;;;
ma;;;
memoire;;;
reconnaissante;;;
a;;;
-t;;;
-elle;;;
garde;;;
du;;;
jardin;;;
"
";;;
de;;;
la;;;
fabrique;;;
et;;;
des;;;
platanes;;;
un;;;
imperissable;;;
souvenir;;;
,;;;
et;;;
lorsqu';;;
a;;;
"
";;;
la;;;
ruine;;;
de;;;
mes;;;
parents;;;
il;;;
m';;;
a;;;
fallu;;;
me;;;
separer;;;
de;;;
ces;;;
choses;;;
,;;;
je;;;
les;;;
ai;;;
"
";;;
positivement;;;
regrettees;;;
comme;;;
des;;;
etres;;;
.;;;
"
";;;
Source;;;
gallica.bnf.fr;;;
 ;;;
Bibliotheque;LOC;MISC;
nationale;LOC;MISC;
de;LOC;MISC;
FranceLE;LOC;MISC;
PETIT;;;
CHOSE;;;
"
";;;
Je;;;
dois;;;
dire;;;
,;;;
pour;;;
commencer;;;
,;;;
que;;;
ma;;;
naissance;;;
ne;;;
porta;;;
pas;;;
"
";;;
bonheur;;;
a;;;
la;;LOC;LOC
maison;LOC;LOC;LOC
Eyssette;LOC;LOC;LOC
.;;;
La;;PER;PER
vieille;;PER;PER
Annou;PER;PER;PER
,;;;
notre;;;
cuisiniere;;;
,;;;
m';;;
a;;;
"
";;;
souvent;;;
conte;;;
depuis;;;
comme;;;
quoi;;;
mon;;;
pere;;;
,;;;
en;;;
voyage;;;
a;;;
ce;;;
moment;;;
,;;;
"
";;;
recut;;;
en;;;
meme;;;
temps;;;
la;;;
nouvelle;;;
de;;;
mon;;;
apparition;;;
dans;;;
le;;;
monde;;;
et;;;
"
";;;
celle;;;
de;;;
la;;;
disparition;;;
d';;;
un;;;
de;;;
ses;;;
clients;;;
de;;;
Marseille;LOC;LOC;LOC
,;;;
qui;;;
lui;;;
emportait;;;
"
";;;
plus;;;
de;;;
quarante;;;
mille;;;
francs;;;
";";;;
si;;;
bien;;;
que;;;
M.;PER;PER;PER
Eyssette;PER;PER;PER
,;;;
heureux;;;
et;;;
"
";;;
desole;;;
du;;;
meme;;;
coup;;;
,;;;
se;;;
demandait;;;
,;;;
comme;;;
l';;;
autre;;;
,;;;
s';;;
il;;;
devait;;;
pleurer;;;
"
";;;
pour;;;
la;;;
disparition;;;
du;;;
client;;;
de;;;
Marseille;LOC;LOC;LOC
,;;;
ou;;;
rire;;;
pour;;;
l';;;
heureuse;;;
"
";;;
arrivee;;;
du;;;
petit;;;
Daniel;PER;PER;PER
...;;;
Il;;;
fallait;;;
pleurer;;;
,;;;
mon;;;
bon;;;
monsieur;;PER;PER
Eyssette;PER;PER;PER
,;;;
"
";;;
il;;;
fallait;;;
pleurer;;;
doublement;;;
.;;;
"
";;;
C';;;
est;;;
une;;;
verite;;;
,;;;
je;;;
fus;;;
la;;;
mauvaise;;;
etoile;;;
de;;;
mes;;;
parents;;;
.;;;
Du;;;
jour;;;
"
";;;
de;;;
ma;;;
naissance;;;
,;;;
d';;;
incroyables;;;
malheurs;;;
les;;;
assaillirent;;;
par;;;
vingt;;;
"
";;;
endroits;;;
.;;;
D';;;
abord;;;
nous;;;
emes;;;
donc;;;
le;;;
client;;;
de;;;
Marseille;LOC;LOC;LOC
,;;;
puis;;;
deux;;;
"
";;;
fois;;;
le;;;
feu;;;
dans;;;
la;;;
meme;;;
annee;;N%;
,;;;
puis;;;
la;;;
greve;;;
des;;;
ourdisseuses;;;
,;;;
puis;;;
"
";;;
notre;;;
brouille;;;
avec;;;
l';;PER;PER
oncle;;PER;PER
Baptiste;PER;PER;PER
,;;;
puis;;;
un;;;
proces;;;
tres;;;
coteux;;;
avec;;;
"
";;;
nos;;;
marchands;;;
de;;;
couleurs;;;
,;;;
puis;;;
,;;;
enfin;;;
,;;;
la;;MISC;
Revolution;;MISC;MISC
de;;;
r8;;;
...;;;
,;;;
qui;;;
"
";;;
nous;;;
donna;;;
le;;;
coup;;;
de;;;
grace;;;
.;;;
"
";;;
A;;;
partir;;;
de;;;
ce;;;
moment;;;
,;;;
la;;;
fabrique;;;
ne;;;
battit;;;
plus;;;
que;;;
d';;;
une;;;
aile;;;
";";;;
"
";;;
petit;;;
a;;;
petit;;;
,;;;
les;;;
ateliers;;;
se;;;
viderent;;;
:;;;
chaque;;;
semaine;;;
un;;;
metier;;;
a;;;
bas;;;
,;;;
"
";;;
chaque;;;
mois;;;
une;;;
table;;;
d';;;
impression;;;
de;;;
moins;;;
.;;;
C';;;
etait;;;
pitie;;;
de;;;
voir;;;
"
";;;
la;;;
vie;;;
s';;;
en;;;
aller;;;
de;;;
notre;;;
maison;;;
comme;;;
d';;;
un;;;
corps;;;
malade;;;
,;;;
lentement;;;
,;;;
"
";;;
tous;;;
les;;;
jours;;;
un;;;
peu;;;
.;;;
Une;;;
fois;;;
,;;;
on;;;
n';;;
entra;;;
plus;;;
dans;;;
les;;;
salles;;;
du;;;
"
";;;
second;;;
.;;;
Une;;;
autre;;;
fois;;;
,;;;
la;;;
cour;;;
du;;;
fond;;;
fut;;;
condamnee;;;
.;;;
Cela;;;
dura;;;
"
";;;
ainsi;;;
pendant;;;
deux;;;
ans;;;
";";;;
pendant;;;
deux;;;
ans;;;
,;;;
la;;;
fabrique;;;
agonisa;;;
.;;;
Enfin;;;
,;;;
"
";;;
un;;;
jour;;;
,;;;
les;;;
ouvriers;;;
ne;;;
vinrent;;;
plus;;;
,;;;
la;;;
cloche;;;
des;;;
ateliers;;;
ne;;;
sonna;;;
"
";;;
pas;;;
,;;;
le;;;
puits;;;
a;;;
roue;;;
cessa;;;
de;;;
grincer;;;
,;;;
l';;;
eau;;;
des;;;
grands;;;
bassins;;;
,;;;
dans;;;
"
";;;
lesquels;;;
on;;;
lavait;;;
les;;;
tissus;;;
,;;;
demeura;;;
immobile;;;
,;;;
et;;;
bientot;;;
,;;;
dans;;;
toute;;;
"
";;;
la;;;
fabrique;;;
,;;;
il;;;
ne;;;
resta;;;
plus;;;
que;;;
