Token;Label;gold
PTITB;MISC;NA
JLANN;;PER
"
";;
IL;;
DRV0IR;;
.;;
"
";;
PHEIIIkI;MISC;NA
PAIII;;
.;;
"
";;
EMANCE;PER;NA
DE;PER;NA
JEANME;PER;PER
;;
"
";;
a;;PER
mbre;PER;PER
Nannette;PER;PER
.;;
"
";;
Il;;
y;;
avait;;
dans;;
un;;
bousrg;;LOC
du;;
dpartenent;;LOC
du;;LOC
"
";;LOC
tCher;;LOC
une;;
bonne;;
veuve;;
ag6e;MISC;NA
de;MISC;NA
soixante;MISC;NA
ans;MISC;NA
;;
qu';;
on;;
"
";;
appelait;;
la;;PER
mbre;LOC;PER
Nunnette;LOC;PER
.;;
Llle;LOC;NA
poss6dait;;
une;;
petite;;
"
";;
maison;;LOC
aves;;
une;;
petite;;
chneire;LOC;LOC
et;;
un;;
jardin;;LOC
"
";;
plante;;
de;;
pommiers;;
;;
de;;
pruniers;;
et;;
de;;
groseilliers;;
.;;
"
";;
Du;;LOC
cbt6;;LOC
du;;LOC
chemin;;LOC
;;
un;;
gros;;
noyer;;
;;
qui;;
avait;;
plus;;
"
";;
de;;
cent;;MISC
ans;;MISC
;;
ombruageait;;
le;;
davant;;
de;;
sa;;
porte;;
.;;
"
";;
Quand;;
les;;
fleurs;;
de;;
cet;;
arbre;;
ne;;
gelaient;;
pas;;
au;;
"
";;
printemps;;MISC
;;
il;;
donnait;;
assez;;
de;;
noix;;
a;;
la;;PER
mere;;PER
];;PER
"
";;PER
Nannette;LOC;PER
pour;;
qu';;
elle;;
et;;
sa;;
provision;;
d';;
huile;;
l';;
an-;;
];;
"
";;
nee;PER;NA
suivante;PER;NA
.;;
Sil;;
se;;
faisait;;
deux;;
bonnes;;
r6eoltes;;
"
";;
de;;
suite;;
;;
elle;;
vendait;;
une;;
partie;;
des;;
noix;;
;;
ce;;
qui;;
"
";;
lui;;
donnait;;
un;;
petit;;
profit;;
.;;
Quoiquell;;
poss6dht;;
"
";;
une;;
vigne;;
et;;
un;;
bssu;MISC;NA
morceau;;LOC
de;;LOC
terre;;LOC
;;
elle;;
n';;
a-;;
"
";;
vait;;
qe;ORG;NA
bien;;
juste;;
ee;;
qu';;
il;;
lui;;
fllait;;
pour;;
vire;LOC;NA
.;;
PREMIIRR;MISC;NA
PAHR;MISC;NA
.;;
"
";;
lla;;
samait;;
du;;
fromant;;
daux;;
anneas;;
de;;
suite;;
dans;;
"
";;
eon;PER;NA
ehamp;PER;LOC
;;
gqui;;
;;
la;;
troisime;;
;;
rapportait;;
alterna-;;
"
";;
tivement;;
du;;
trbfle;;
et;;
des;;
pmmes;;
do;;
tenre;;
.;;
Klle;PER;NA
"
";;
resoltait;;
asse;;
de;;
hl6;LOC;NA
pour;;
so;;
nourrir;;
pondant;;
0;;
les;;
"
";;
trois;;
ans;;
.;;
ais;;
si;;
lanne;PER;NA
atait;PER;NA
mauvaise;PER;NA
;;
la;;PER
