Token;accord
LA;
FABRIOUE;
"

";
EE;
"
";
Je;
suis;
ne;
le;
rg;
mai;
8;
...;
0;
dans;
une;
ville;
du;
Languedoc;LOC
0;
oi;
l';
on;
"
";
trouve;
0;
comme;
dans;
toutes;
les;
villes;
du;
Midi;LOC
0;
beaucoup;
de;
soleil;
0;
pas;
"
";
mal;
de;
poussiere;
0;
un;
couvent;LOC
de;LOC
Carmelites;LOC
et;
deux;
ou;
trois;
monuments;
"
";
romains;
.;
"
";
Mon;
pere;
0;
M.;PER
Eyssette;PER
0;
qui;
faisait;
a;
cette;
epoque;
le;
commerce;
des;
"
";
foulards;
0;
avait;
0;
aux;
portes;
de;
la;
ville;
0;
une;
grande;
fabrique;
dans;
un;
pan;
"
";
de;
laquelle;
il;
s';
etait;
taille;
une;
habitation;
commode;
0;
tout;
ombragee;
de;
"
";
platanes;
et;
separee;
des;
ateliers;
par;
un;
vaste;
jardin;
.;
C';
est;
la;
que;
je;
suis;
"
";
venu;
au;
monde;
et;
que;
j';
ai;
passe;
les;
premieres;
0;
les;
seules;
bonnes;
annees;
"
";
de;
ma;
vie;
.;
Aussi;
ma;
memoire;
reconnaissante;
a;
-t;
-elle;
garde;
du;
jardin;
"
";
de;
la;
fabrique;
et;
des;
platanes;
un;
imperissable;
souvenir;
0;
et;
lorsqu';
a;
"
";
la;
ruine;
de;
mes;
parents;
il;
m';
a;
fallu;
me;
separer;
de;
ces;
choses;
0;
je;
les;
ai;
"
";
positivement;
regrettees;
comme;
des;
etres;
.;
"
";
Source;
gallica.bnf.fr;
 ;
Bibliotheque;
nationale;
de;
FranceLE;
PETIT;
CHOSE;
"
";
Je;
dois;
dire;
0;
pour;
commencer;
0;
que;
ma;
naissance;
ne;
porta;
pas;
"
";
bonheur;
a;
la;WARNING !!
maison;LOC
Eyssette;LOC
.;
La;PER
vieille;PER
Annou;PER
0;
notre;
cuisiniere;
0;
m';
a;
"
";
souvent;
conte;
depuis;
comme;
quoi;
mon;
pere;
0;
en;
voyage;
a;
ce;
moment;
0;
"
";
recut;
en;
meme;
temps;
la;
nouvelle;
de;
mon;
apparition;
dans;
le;
monde;
et;
"
";
celle;
de;
la;
disparition;
d';
un;
de;
ses;
clients;
de;
Marseille;LOC
0;
qui;
lui;
emportait;
"
";
plus;
de;
quarante;
mille;
francs;
";";
si;
bien;
que;
M.;PER
Eyssette;PER
0;
heureux;
et;
"
";
desole;
du;
meme;
coup;
0;
se;
demandait;
0;
comme;
l';
autre;
0;
s';
il;
devait;
pleurer;
"
";
pour;
la;
disparition;
du;
client;
de;
Marseille;LOC
0;
ou;
rire;
pour;
l';
heureuse;
"
";
arrivee;
du;
petit;
Daniel;PER
...;
Il;
fallait;
pleurer;
0;
mon;
bon;
monsieur;PER
Eyssette;PER
0;
"
";
il;
fallait;
pleurer;
doublement;
.;
"
";
C';
est;
une;
verite;
0;
je;
fus;
la;
mauvaise;
etoile;
de;
mes;
parents;
.;
Du;
jour;
"
";
de;
ma;
naissance;
0;
d';
incroyables;
malheurs;
les;
assaillirent;
par;
vingt;
"
";
endroits;
.;
D';
abord;
nous;
emes;
donc;
le;
client;
de;
Marseille;LOC
0;
puis;
deux;
"
";
fois;
le;
feu;
dans;
la;
meme;
annee;
0;
puis;
la;
greve;
des;
ourdisseuses;
0;
puis;
"
";
notre;
brouille;
avec;
l';PER
oncle;PER
Baptiste;PER
0;
puis;
un;
proces;
tres;
coteux;
avec;
"
";
nos;
marchands;
de;
couleurs;
0;
puis;
0;
enfin;
0;
la;
Revolution;MISC
de;
r8;
...;
0;
qui;
"
";
nous;
donna;
le;
coup;
de;
grace;
.;
"
";
A;
partir;
de;
ce;
moment;
0;
la;
fabrique;
ne;
battit;
plus;
que;
d';
une;
aile;
";";
"
";
petit;
a;
petit;
0;
les;
ateliers;
se;
viderent;
:;
chaque;
semaine;
un;
metier;
a;
bas;
0;
"
";
chaque;
mois;
une;
table;
d';
impression;
de;
moins;
.;
C';
etait;
pitie;
de;
voir;
"
";
la;
vie;
s';
en;
aller;
de;
notre;
maison;
comme;
d';
un;
corps;
malade;
0;
lentement;
0;
"
";
tous;
les;
jours;
un;
peu;
.;
Une;
fois;
0;
on;
n';
entra;
plus;
dans;
les;
salles;
du;
"
";
second;
.;
Une;
autre;
fois;
0;
la;
cour;
du;
fond;
fut;
condamnee;
.;
Cela;
dura;
"
";
ainsi;
pendant;
deux;
ans;
";";
pendant;
deux;
ans;
0;
la;
fabrique;
agonisa;
.;
Enfin;
0;
"
";
un;
jour;
0;
les;
ouvriers;
ne;
vinrent;
plus;
0;
la;
cloche;
des;
ateliers;
ne;
sonna;
"
";
pas;
0;
le;
puits;
a;
roue;
cessa;
de;
grincer;
0;
l';
eau;
des;
grands;
bassins;
0;
dans;
"
";
lesquels;
on;
lavait;
les;
tissus;
0;
demeura;
immobile;
0;
et;
bientot;
0;
dans;
toute;
"
";
la;
fabrique;
0;
il;
ne;
resta;
plus;
que;
M.;PER
et;
Me;PER
Eyssette;PER
0;
la;PER
vieille;PER
Annou;PER
0;
"
";
mon;
frere;
Jacques;PER
et;
moi;
";";
puis;
0;
la;
-0;
bas;
0;
dans;
le;
fond;
0;
pour;
garder;
les;
"
";
ateliers;
0;
le;PER
concierge;PER
Colombe;PER
et;
son;
fils;
le;PER
petit;PER
Rouget;PER
.;
"
";
C';
etait;
fini;
0;
nous;
etions;
ruines;
.;
"
";
;
avais;
alors;
six;
ou;
sept;
ans;
.;
Comme;
j';
etais;
tres;
frele;
et;
maladif;
0;
"
";
mes;
parents;
n';
avaient;
pas;
voulu;
m';
envoyer;
a;
l';
ecole;
.;
Ma;
mere;
m';
avait;
"
";
seulement;
appris;
a;
lire;
et;
a;
ecrire;
0;
plus;
quelques;
mots;
d';
espagnol;
et;
"
";
deux;
ou;
trois;
airs;
de;
guitare;
0;
a;
l';
aide;
desquels;
on;
m';
avait;
fait;
0;
dans;
la;
"
";
famille;
0;
une;
reputation;
de;
petit;
prodige;
.;
Grace;
a;
ce;
systeme;
d';
education;
0;
"
";
je;
ne;
bougeais;
jamais;
de;
chez;
nous;
0;
et;
je;
pus;
assister;
dans;
tous;
ses;
"
";
details;
a;
l';
agonie;
de;
la;LOC
maison;LOC
Eyssette;LOC
.;
Ce;
spectacle;
me;
laissa;
froid;
0;
LA;
FABRIQUE;
"

";
je;
l';
avoue;
";";
meme;
je;
trouvai;
h;
notre;
ruine;
ce;
c6te;
tres;
agreable;
0;
que;
je;
"
";
pouvais;
gambader;
a;
ma;
guise;
par;
toute;
la;
fabrique;
0;
ce;
qui;
0;
du;
temps;
des;
"
";
ouvriers;
0;
ne;
m';
etait;
permis;
que;
le;
dimanche;
.;
Je;
disais;
gravement;
au;
"
";
petit;
Rouget;PER
:;
 ;
Maintenant;
0;
la;
fabrique;
est;
a;
moi;
";";
on;
me;
l';
a;
donnee;
"
";
pour;
jouer;
.;
 ;
Et;
le;
petit;PER
Rouget;PER
me;
croyait;
.;
Il;
croyait;
tout;
ce;
que;
je;
"
";
lui;
disais;
0;
cet;
imbecile;
.;
"
";
A;
la;
maison;
0;
par;
exemple;
0;
tout;
le;
monde;
ne;
prit;
pas;
notre;
debacle;
"
";
aussi;
gaiement;
.;
Tout;
a;
coup;
M.;PER
Eyssette;PER
devint;
terrible;
";";
c';
etait;
dans;
"
";
l';
habitude;
une;
nature;
enflammee;
0;
violente;
0;
exageree;
0;
aimant;
les;
cris;
0;
"
";
la;
casse;
et;
les;
tonnerres;
";";
au;
fond;
0;
un;
tres;
excellent;
homme;
0;
ayant;
"
";
seulement;
la;
main;
leste;
0;
le;
verbe;
haut;
et;
l';
imperieux;
besoin;
de;
donner;
"
";
