,SEMWiNER,STANZA,SPACY_LG,,,,,,,,,,,
TOTAL EN,163,112,110,,,,,,,,,,,
TOTAL FREQ EN ITEREE,24,17,12,,,,,,,,,,,
TOTAL FREQ EN HAPAX,13,12,16,,,,SEMWiNER,STANZA,SPACY_LG,,,,,
VP,33,37,38,108,,VP repet,,,,,,,,
FP,128,70,61,259,,VP Hapax,,,,,,,,
AMBG,2,5,11,18,,FP repet,,,,,,,,
FFN(FORMES FAUTIVES),,0,3,,,FP Hapax,,,,,,,,
,,,,,,Total VP,,,,,,,,
FREQ(VERIF),37,29,28,,,Total FP,,,,,,,,
Total verif,163,112,110,,,,,,,,,,,
,,,,,,,,,,,,,,
CALCUL,,ITERATION+HAPAX,,,,,,,,,,,,
AMB ,DANS HAPAX,DANS HAPAX,DANS HAPAX,,,,,,,,,,,
,,,,,,,,,,,,,,
SEMWiNER,,,,,Spacy_Lg,,,,,Stanza,,,,
mot,frequence,LOC,EL (FF),COMMENT,mot,frequence,LOC,EL (FF),COMMENT,mot,frequence,LOC,,COMMENT
France,1,VP,,,chemin de Villevieille,1,VP,1,Villevieille,Gué Perdu,6,VP,,
Gu\u00e9 Perdu,6,VP,,,de France,1,VP,,,Paris,5,VP,,
Paris,5,VP,,,Gu\u00e9 Perdu,6,VP,,,Rome,2,VP,,
Rome,2,VP,,,Gu\u00e9 Perdu\u00a0,1,VP,1,Gu\u00e9 Perdu,Sainte-Montagne,5,VP,,
Sainte-Montagne,5,VP,,,Paris,5,VP,,,Sologne,5,VP,,
Villevieille,14,VP,,,Rome,2,VP,,,Villevieille,14,VP,,
Ad\u00e8le,5,FP,,,Sainte-Montagne,5,VP,,,Au-dessus,1,FP,,
Augustine,5,FP,,,Sologne,5,VP,,,Bel-\u0152il,2,FP,,
B\u00eate,3,FP,,,Villevieille,11,VP,,,Bibiche,5,FP,,
Bel-\u0152il,8,FP,,,Villevieille\u00a0,1,VP,1,Villevieille,Castille,4,FP,,
Blanche,1,FP,,,Celles,1,FP,,,Cette,7,FP,,
Chicon,1,FP,,,Chicon\u00a0,1,FP,,,Comme,2,FP,,
Colette,25,FP,,,col\u00a0,1,FP,,,DEUXI\u00c8ME,1,FP,,
D\u00e9sir\u00e9e-des-Anges,4,FP,,,communion\u00a0,1,FP,,,Ferme,1,FP,,
Eug\u00e8ne,6,FP,,,D\u00e9sir\u00e9e-des-Anges,22,FP,,,Ism\u00e9rie,1,FP,,
"Genevi\u00e8ve de Brabant""",1,FP,,,Ism\u00e9rie,21,FP,,,Je,3,FP,,
Girard,1,FP,,,la Blanche,1,FP,,,Le,1,FP,,
Ism\u00e9rie,4,FP,,,M\u00e9lanie,3,FP,,,Les,30,FP,,
J\u00e9sus-Christ,1,FP,,,porte\u00a0,3,FP,,,Ma,1,FP,,
M\u00e9lanie,1,FP,,,Saint-Jean,3,FP,,,Mes,2,FP,,
Madeleine,24,FP,,,Saintes,1,FP,,,Saint-Jean,2,FP,,
manche,2,FP,,,Sautons,1,FP,,,Ses,4,FP,,
Martine,4,FP,,,Tiens,1,FP,,,Toutes,2,FP,,
Orgueilleuse,2,FP,,,Tireli,1,FP,,,Une,1,FP,,
P\u00e2ques,4,FP,,,ch\u00e2teau\u00a0,1,AMBIG,,,Châtaigniers,1,AMB,,ALLÉE DES CHATAIGNIERS OU LES CHATAIGNIERS
Pauline,1,FP,,,Cheval Blanc,1,AMBIG,,auberge du Cheval Blanc,Cheval Blanc,1,AMB,,auberge du Cheval Blanc
S\u0153ur,2,FP,,,Ch\u00e2taigniers,1,AMB,,ALLÉE DES CHATAIGNIERS OU LES CHATAIGNIERS,Le soleil,1,AMB,,
Saint-Jean,4,FP,,,Castille,8,FP,,Ambiguité nom d'un animal (chienne),Orphelinat,1,AMB,,
Sautons,1,FP,,,,,,,,Sainte Table,1,AMB,,
Sophie,3,FP,,,,,,,,,,,,
sucre,2,FP,,,,,,,,,,,,
T\u00e9l\u00e9maque,3,FP,,,,,,,,,,,,
Tireli,1,FP,,,,,,,,,,,,
Vierge,8,FP,,,,,,,,,,,,
Vin,1,FP,,,,,,,,,,,,
Orphelinat,1,AMB,,,,,,,,,,,,
place de la vieille Bibiche,1,AMB,,"AMBIGUITÉ MAIS BIBICHE EST UNE PERSONNE EST L'EXPRESSION EST ""je serais bergère d'agneaux à la place de la vieille Bibiche""",,,,,,,,,,
