FABRIOUE;1
EE;1
Languedoc;2
Midi;9
Carmelites;2
Marseille;3
A;7
Jacques;5
"rOle
d'Ocean";1
Recollets;1
Les;57
Ces;3
"A
IlP";1
Fe1 I;1
Lri;1
AI;1
Gei4;1
FABRIOQUE;1
Lyon;26
M. Eyssette;1
Beaucaire;1
Rh6ne;1
Genies;1
Rhone;3
Nord;2
En;1
Confusement;1
rue Lanterne;7
Perrache;1
Cette;20
Presentez;1
"I
Il";1
"z
S";1
e C;1
"NO
z 5
1
F
P
L";1
"Z
1";1
Ls;1
"tl
 1
I";1
"1 A
I";1
"NNN
Ih1";1
"place des
Terreaux";1
LE PETIT CHOSE;13
POUR;1
F;5
"E
e-z.L5";1
ItEa-c-rs;1
LL;2
"L 
R";1
IW;1
"N
P";1
"t
I-
Y'";1
Ses;5
Saint-Nizier;10
LE PETIT;1
Vienne;1
Universite;3
Sarlande;30
Lha;1
Academie;1
C0MP1GNON;1
TOUR;1
FRANCE;1
Annou3;1
A 4;1
"N
M";1
C;3
"MW
I.1";1
"Y-
A hx";1
".MN
5
f
L";1
G;1
R-L;1
WN2L;1
"I
 Iz";1
I1;2
"R
r";1
It;1
"W
g";1
"Chateau-
Neuf-des-Papes";1
Angleterre;1
O;5
Cevennes;6
La-dessus;3
Si;4
Soyez;1
Afrique;1
"Y
5";1
"t 1
sr
Ma";1
"g
N";1
Serrieres;1
Mes;2
Barbette;4
Quand;2
Ma;1
Prairie;11
IMes;1
"r. 
3-
g
.-
11-
1 - 
N-""
1 :
I-
. ANI";1
"I
k";1
"iJ
 Y9
A";1
"` I
r-
I-  W";1
Sa;1
Quelques-uns;1
Vieux-College;1
I Yo;1
"A
 I";1
At;1
CHOSE;1
Maintcnant;1
PION;1
Pauvres;1
PETIT;3
Ceux;1
MIaintenant;2
College;1
Viot;1
Quoil;1
Limoux;2
Sarlandel;1
Sarlandais;1
Bou;2
Boucoyran;1
LLL;1
"W
1P
I
Rb";1
"W
1II/e";1
"L- T
L-";1
Petit-Cercle;1
Grand-Cercle;1
Eveche;1
BOUCOYRAN;1
1'Eveche;1
Paris;52
LES;5
OURS;1
U;1
J;1
"4
5
-I I
.L";1
"A
i
Y
y
A";1
S;2
I;1
"5-I
A";1
"N
e";1
ARMES;1
"college de la
MIarine";1
Bretagne;2
Espagne;1
Quartier Latin;1
"Quartier
ILatinl";1
Barbetten;1
Es;1
Jaune;1
ANNEAU DE FER;3
pere Esperon;1
"ChoseL'ANNEAU DE FER
9s";1
Avoir;1
"L
A";1
"M
 a2";1
L1l;1
"FR
1 I1";1
Bastille;1
Commentl;1
Quartier;1
"Latinl..YIV
L'ONCLE BAPTISTE";1
"E
L";1
L3;1
ZA;1
1'Afrique;1
Champenoise;2
Je;4
Comme;3
Ahl;1
Allons-nous-en;1
Quartier-Latin;1
Saint-Germain-des-Pres;2
Saint-Germain;7
Pl;1
II;3
"NJ
tas";1
vC;1
CURE;3
SAINT-NIZIER;2
Du;1
Tu;2
faubourg Saint-Germain;2
rue de Lille;2
"rue
Saint-Guillaume";1
Lille;1
PART;1
SAINT-NIzIER;1
Saint-Nizierl;1
rue Saint-Guillaume;1
Perou;1
Italie;2
Moustier;1
Saumon;12
Des;1
Couche;1
Hacqueville;2
"MERE ACQUES
123";1
"tour de
Saint-Germain";1
Parisien;2
Aussi;1
Regarde;1
"Saint-Germain-des-
Pres";1
Rome;2
Bons;1
Derriere;1
Comedie-Francaise;1
"i
1 I
I1";1
"M
tl";1
"N Wffa
0I
IL";1
"Y
.1:I I1A-1- 
I1
1
I";1
"R
 I";1
"FcE
1";1
"I n J
eA
A";1
pyramide d'Egypte;1
Palais-Mazarin;1
rue Saint-Benoit;2
Donc;1
Ehl;3
Coucou-Blancl;2
Chutl;1
Coucou-Blanc;5
Or;1
hA;1
MIuse;1
la Mluse;1
ET;3
Luxembourg;2
As;1
M[lle Coucou-Blanc;1
quartier Latin;2
Nanterre;1
"Lfi
L";1
"5
Laf
aA";1
B;1
"N
7
 A
 e";1
AO;1
"LA
iNN";1
Nr;1
"I5
7 g";1
"A
K";1
DAME;2
PREMIER;2
Blancs;1
Cap;1
"Coucou-
Blanc";1
Palais-Royal;1
nP;1
quartier Montmartre;1
Cevenol;4
Allonsl;1
Anastagille;1
"aPstl Pstt
Anastagillel";1
Montmartre;4
Parisiens;2
"J
NW";1
LL5;1
"I
Ll";1
Pierrotte;3
palais de la fee Porcelaine;1
Vallee;1
Voyonsl;1
"quartier
Latin";1
Par;2
PETT;1
Desir-de-plaire;1
"H
11
Z";1
3A;1
NC2;1
"7YIII
UNE LECTURE";1
PASSAGE;6
SAUMION;1
clocher de Saint-Germain;1
Helasl;2
Grand-Orient;1
college de Sar;1
BETE A BON DIEU;14
He;1
BErE A BON DIEU;7
BETE;1
"BETE A BON DIEU
Tres";1
BON DIEU;1
LLLLL.LLLLLLLLLL;1
Ca;2
"BETE A BON DIEU
Ohl";1
LA BETE A BON DIEU;1
SAUMON;1
Araignee;1
"BETE A BON DIEU
Hel";1
Grillon;1
"BeteI74
LE PETIT CHOSE";1
Ciel;1
Escargots;1
cimetiere des Papillons;1
Bete;1
Alfort;1
1'Observatoire;1
Saint-Germainl;1
Nice;3
rue Saint-Benoft;1
"P
N";1
g;2
"A..-
MW";1
R;1
"Y
1";1
vENDRAS;1
Plantes;1
Nous;1
MIonsieur Eyssette;1
Theatre-Frangcais;1
iles Marquises;3
Theatre;1
Frangais;1
baie de Naples;1
Saint-Petesbourg;1
Rio;1
Naples;2
Port-au-Prince;1
Theatre-Frangais;1
Le Cevenol;1
Chili;1
"1
A";1
V;1
LY;1
"r
 L.sdin";1
AN;1
C-;1
CEUR;4
Pise;2
Palerme;2
Cuba;2
Porcelaines;1
Pres-Saint-Gervais;1
Gymnase;1
eSur;1
TOLOCOToTIGNAN;1
boulevard Montparnasse;1
Juste;1
"g
I";1
"f
I";1
".I
-2
LN";1
.TOLOCoToTIGNAN;1
Le;1
Sevres;1
Sceaux;1
Pour;1
"z
Si";1
Maine;1
Nonl;1
Huit-a-Dix;1
rOle;1
Langlumeau;1
theatre Montparnasse;2
aRue des Dames;1
Batignolleslo cria la mere Jacques;1
Reflechissez;1
"Md
M";1
"N3
r
1 K
A
-L.";1
"19
A 
L
is";1
Y-N;1
ENLEvEMENT;1
rue Bonaparte;1
Alsace;2
Alsacien;2
Chinois;1
LB PBTIT CHOSE;1
h Montparnasse;1
hotel Pilois;1
rue des Dames;1
"Bati-
gnolles";1
Marsala;1
Batignolles;1
Mont;1
"LE PETIT CHOSE
Montparnasse";1
Ohel;1
Lala-itouln;1
Italiens;1
ENLvEMENT;1
LE REVE;1
IJe;1
Cet;1
Montparnasse;2
MIontparnasse;1
Inde;1
Saint-Pierre;1
Dehors;1
Com-;1
faubourg Montmartre;1
LA FIN DU REVE;1
Tous;1
Saint-Emilion;1
Providence;1
MASoN LA;1
"1
x
1
.
 e
r 
sJ";1
"IH
s
L-";1
Lir;1
S6dt;1
LA FIN DU REvE;1
FIN;1
Touraine;1
Chine;1
