Languedoc;2
l’;555
Midi;9
Carmélites;3
romains;1
Eyssette;29
Annou;26
Marseille;3
A;4
A l’;4
qu’;114
s’;55
Moi-même;1
m'’appelais;1
je l’;5
j’;77
Qui t’;1
l’as-tu;1
Récollets;2
Va-t’;2
Je l’;3
Î;3
Lyon;24
Beaucaire;1
Colombe;1
I;4
le Rhône;1
Géniès;1
Le Rhône;1
du Nord;2
rue Lanterne;7
Pouah;2
Rhône;2
Pers;1
Pourvu;3
Saint-Nizier;12
Saint-;5
Présentez;1
Sanctus;1
Figurez;4
Évangiles;1
collège de Lyon;2
Tiens;11
buis;1
Chose;49
Tell;1
"place des
Terreaux";1
m'’attablai;1
là-bas;1
Loyasse;1
"VriSmiÉeé

pat";1
Restez;1
Rien;1
Signez;1
t’;39
Combien;1
Regardez;3
Jacques;5
Voix;1
Pot;1
mont-de-piété;1
Qu'on s’;1
Robinson;1
Sois sérieux;1
Vienne;1
Montélimart;1
Approche;1
Holà;2
Avez;3
Château-;1
Neuf-des-Papes;1
Daniel;3
Fe;1
Petit Chose;1
Angleterre;1
Cévennes;7
collège n’;1
Cassagne;5
Crouzat;1
Soubeyrol.;1
boiserie;1
M. Serrières;1
qu’on l’;1
Afrique;1
Serrières;8
Venez;5
Barbette;24
Viot.;1
VI;1
Quelquefois;7
Debout;2
d’;12
chambre m’;1
la Prairie;4
Gardez;1
APS;1
Desinit;1
honte!.;1
voyais;1
Bamban;5
va-t’;2
Prairie;3
Grossiers;1
Pion;1
Eux;1
ER;4
"TES

";1
Loupi;1
Quelles;1
sanglots!.;1
Chers;2
Vieux-Collège;1
Titan;1
Condillac;2
vois-tu!;2
Maintenant;3
Bonjour;5
Place!;1
Immobile;1
À l’;2
clac;1
Mathurine;1
YEUX;8
Travaille;1
tic-tac;1
Collège;1
Comprends-tu;1
lui!.;1
Horreur!.;1
Saint-Esprit;2
Limoux;2
C’;6
Muse badine;1
Ménalque;5
Saint-Théophile;2
Cocorico!;1
kss!.;1
Boucoyran;18
Sarlandais;1
rs;3
Petit-Cercle;1
Grand-Cercle;1
gardes-du-corps;1
Allons;5
SRI EPErR ES;1
Les élèves n’;1
n’;1
Parfait secrétaire;1
Paris;58
Cécilia;1
Lamartine d’Elvire;1
