extbf{Versions};\textbf{Moteurs de REN};\textbf{Spearman cos.};\textbf{p-value cos.};\textbf{spearman jacc.};\textbf{p-value jacc.}
\multirow{6}{*}{Kraken};camembert-4.41.1;0.4909;0.1252;0.4455;0.1697
;flair-0.13.1;-0.0545;0.8734;0.4455;0.1697
;spacy-lg;0.0545;0.8734;0.6727;0.0233
;spacy-md;0.0636;0.8525;0.7636;0.0062
;spacy-sm;0.3545;0.2847;0.7091;0.0146
;stanza-fr;0.2727;0.4171;0.2455;0.4669
\multirow{6}{*}{Kraken--jspl-ELTeCfr};camembert-4.41.1;0.6091;0.0467;0.4000;0.2229
;flair-0.13.1;0.2727;0.4171;0.2091;0.5372
;spacy-lg;0.1364;0.6893;0.5545;0.0767
;spacy-md;0.1364;0.6893;0.5818;0.0604
;spacy-sm;0.3727;0.2589;0.5455;0.0827
;stanza-fr;0.5545;0.0767;0.3000;0.3701
\multirow{6}{*}{Kraken--jspl-fr};camembert-4.41.1;0.1818;0.5926;0.4727;0.1420
;flair-0.13.1;0.4545;0.1601;0.0182;0.9577
;spacy-lg;0.1273;0.7092;0.4182;0.2006
;spacy-md;-0.0182;0.9577;0.7182;0.0128
;spacy-sm;-0.0545;0.8734;0.6455;0.0320
;stanza-fr;0.2000;0.5554;0.3909;0.2345
\multirow{6}{*}{Kraken 4.3.13};camembert-4.41.1;0.0909;0.7904;0.4636;0.1509
;flair-0.13.1;0.4455;0.1697;0.3455;0.2981
;spacy-lg;0.0727;0.8317;0.1818;0.5926
;spacy-md;0.0091;0.9788;0.2545;0.4500
;spacy-sm;-0.0636;0.8525;0.4636;0.1509
;stanza-fr;0.2455;0.4669;0.6091;0.0467
\multirow{6}{*}{Kraken 4.3.13 -- jspl-ELTeCfr};camembert-4.41.1;0.2091;0.5372;0.2727;0.4171
;flair-0.13.1;0.1909;0.5739;0.3818;0.2466
;spacy-lg;0.0364;0.9155;0.1818;0.5926
;spacy-md;-0.0727;0.8317;0.3273;0.3259
;spacy-sm;-0.1818;0.5926;0.3818;0.2466
;stanza-fr;0.3455;0.2981;0.5182;0.1025
\multirow{6}{*}{Kraken 4.3.13 -- jspl-fr};camembert-4.41.1;0.2091;0.5372;0.2455;0.4669
;flair-0.13.1;0.1909;0.5739;0.0364;0.9155
;spacy-lg;0.0364;0.9155;0.0364;0.9155
;spacy-md;-0.0727;0.8317;0.0818;0.8110
;spacy-sm;-0.1818;0.5926;0.2545;0.4500
;stanza-fr;0.3455;0.2981;0.5364;0.0890
\multirow{6}{*}{Tess. fr};camembert-4.41.1;0.4273;0.1899;0.6273;0.0388
;flair-0.13.1;0.5545;0.0767;0.5818;0.0604
;spacy-lg;0.3364;0.3118;0.7182;0.0128
;spacy-md;0.4000;0.2229;0.7000;0.0165
;spacy-sm;0.7545;0.0073;0.7364;0.0098
;stanza-fr;0.1545;0.6500;0.4091;0.2115
\multirow{6}{*}{Tess. fr -- jspl-ELTeCfr};camembert-4.41.1;0.0000;1.0000;0.7182;0.0128
;flair-0.13.1;0.5091;0.1097;0.6182;0.0426
;spacy-lg;0.3182;0.3403;0.7364;0.0098
;spacy-md;0.4000;0.2229;0.7182;0.0128
;spacy-sm;0.7455;0.0085;0.7182;0.0128
;stanza-fr;0.1000;0.7699;0.2273;0.5015
\multirow{6}{*}{Tess. fr -- jspl-fr};camembert-4.41.1;0.3818;0.2466;0.0909;0.7904
;flair-0.13.1;0.2636;0.4334;-0.1273;0.7092
;spacy-lg;-0.1000;0.7699;-0.3182;0.3403
;spacy-md;0.0455;0.8944;0.0091;0.9788
;spacy-sm;0.7818;0.0045;-0.1636;0.6310
;stanza-fr;0.1455;0.6693;-0.0818;0.8110
\multirow{6}{*}{Tess. fr 3.10};camembert-4.41.1;-0.1727;0.6115;-0.0455;0.8944
;flair-0.13.1;0.3364;0.3118;0.0273;0.9366
;spacy-lg;0.2273;0.5015;-0.2364;0.4841
;spacy-md;0.1364;0.6893;-0.0091;0.9788
;spacy-sm;0.4818;0.1334;-0.1727;0.6115
;stanza-fr;-0.0545;0.8734;-0.1091;0.7495
\multirow{6}{*}{Tess. fr 3.10 -- jspl-ELTeCfr};camembert-4.41.1;-0.1909;0.5739;0.1273;0.7092
;flair-0.13.1;0.2818;0.4011;-0.0818;0.8110
;spacy-lg;0.2636;0.4334;-0.1727;0.6115
;spacy-md;0.3455;0.2981;-0.1182;0.7293
;spacy-sm;0.5455;0.0827;-0.2000;0.5554
;stanza-fr;-0.0545;0.8734;-0.1727;0.6115
\multirow{6}{*}{Tess. fr 3.10 -- jspl-fr};camembert-4.41.1;-0.1000;0.7699;0.0909;0.7904
;flair-0.13.1;0.2000;0.5554;-0.1273;0.7092
;spacy-lg;0.1273;0.7092;-0.3182;0.3403
;spacy-md;0.2091;0.5372;0.0091;0.9788
;spacy-sm;0.5545;0.0767;-0.1636;0.6310
;stanza-fr;-0.0545;0.8734;-0.0818;0.8110
