l’;1494
Prix Caraïbe de l’Adelf;1
Juste;1
Hispaniola;5
qu’;279
A;1
Persée;18
L’;32
Persifal;299
parvis de l’;3
Kansas;3
États-Unis;3
Miami;5
New York;1
Américains;2
Haïti;9
s’;206
Avez;4
j’;162
Mes;2
Je l’;16
Blanc;14
On l’;8
Telle;1
Allez;10
aujourd’hui;1
Avais;2
d’;20
Pierre de la Sirène;3
Sirène;11
Madan Ina;2
Grimper;1
Sonson;5
Ouvre;2
C’;23
Ina;19
Vaillamment;1
Rejoins;1
Sais-tu;2
t’;117
Fais;7
lune;10
Pipirit;400
Réveille-toi;3
Sirène s’;2
Va-t’;10
siffle;3
Madan Sorèl;6
Pipirit aide;1
Elyaniz;3
Amédée;1
Absolument;3
Ina l’;1
Parlez-moi d’;1
Nègres;52
Rejetterais-tu;1
Josipierre;9
Soudain;6
Compris;1
Terrifiée;1
cimetière du Morne Rouge;4
Toi;6
"Piste
";1
Zwazowout;37
us;1
Sò Chalòt;2
Grande;2
Pipirit s’;40
Bien;1
Djo;3
presqu’île;1
Zwazowout l’;1
Nègres l’;1
Cherche;1
Blancs;8
Madan;1
Pipirit examine l’;1
Indique;1
Disons;1
t’aider;7
Combien;2
Morne;11
Cabris;14
Croix-des-Bouquets;1
Mirebalais;2
d’âne;1
Piste;10
Pipirit simule;1
Debout;2
Pipirit obéit;1
Laisse;9
Josaphat;8
t’approches;1
Qui es-tu;5
Nègre;83
Tes;1
Bawon;1
Amuse;1
paria;1
Pourquoi es-tu venu;1
Pas;4
Suis-moi;2
Vois-tu !;1
Attends;5
bégaya l’;1
Dis-;1
Sais-;1
Excuse;2
Éloïs;1
Pitié;7
Jamaïque;5
République Dominicaine;2
Faire l’;1
Approche;1
Oyez;8
zizanie;1
Cri;37
Continue;2
Respect;3
Pipirit examine;1
t’offrir;1
Petit-Noël;14
Notre ami Séraphin;1
Vasquez;38
Séraphin;6
Colonel;3
crie Pipirit;6
Faire;1
Bataillon;1
Pipirit n’;5
Vois-tu tous;1
Afrique;8
Aucun;1
Mandingues;1
Poursuivis;1
du Nord;4
l’ancienne;1
Dahomey;3
Danga;4
Français;3
Saint-Domingue;3
Cibao;2
Puilboro;1
Macaya;2
