l’;420
Grand Trip;1
Connaît-Tout;30
mer m’avale;1
qu’;263
j’;457
j’ai l’;1
Mutsamudu;26
Mjihari;19
l’heure;3
s’;63
bah;3
d’;11
Crotale;121
t’;33
sonnette;4
cesseras-tu;2
océan Indien;1
Crotale m’;2
lycée n’;1
Connaît-Tout n’;2
Hombo;7
Français;3
Paris;2
hein;1
scorpion;1
Panthéon parisien;1
j’aimerais;1
maman l’;1
Bacari;1
Tranquille;61
Missiri;7
Oreille;9
Mouche;9
A;1
Mpouzini;1
Main;3
j’avais;1
Morphée;2
girofliers;1
Anjouan;4
Gros-Jean;1
Europe;2
Européen;1
Blanc;2
Tranquille l’;1
Cendrillon;1
vinaigré;1
ouais;1
Vorace;121
Domoni;6
Anguille;7
Indiens;2
Turc;1
n’as-tu pas;1
voyais;3
mer c’;1
Pérou;1
stade de Missiri;1
place Mroni;1
notre Nawal;1
ça n’;3
Désirée;5
observais;1
Conti;1
Suisse;1
Hamoumbou;3
Hampanga;1
mer n’;1
ça t’;1
finie;1
sur-le-champ;1
mer sans m’;1
bla-bla;2
je l’;3
place publique Mroni;1
place Uvoimoja;1
Jaf;1
Minadzijou;1
Landerneau;1
dia;1
Badrane;1
ylang-ylang;1
Voilà;2
machin;1
Européens;1
Ujoumbé;1
Idarousse;1
Comores;1
tire-larigot;1
la Pologne;1
Bordeaux;1
médoc;1
sauternais;1
Bourgogne;1
chablis;1
beaujolais;1
Crotale s’;8
peigne;1
chaise;1
lycée j’;1
j’agis;1
soyez-en;1
Angleterre;1
Connaît-Tout t’;1
maligne;1
Crotale n’;1
Cobra;4
Pangahari;1
bras-le-corps;2
Futilité;1
Israël-Palestine;1
Soudan;1
Darfour;1
Birmanie;1
Rangoon;1
France-Comores;1
Mayotte;20
L’;1
Afrique du Sud;1
serrure;1
maman;1
Elina;1
Catherina;1
Connaît-Tout s’;1
t’enfermes n’;1
va-t’;1
haoussa;1
bambara;1
La Trinité;1
Garanti s’;1
Miraculé;3
Rescapé;20
Mozambique;1
m’;1
Bambao;1
Bazmine;1
Oani;1
Mchacojou;1
Tratringa;1
Bambao Lamtsanga;1
Jomani;1
Shiroroni;1
Balawi;1
Papani;2
Mademoiselle;1
OK;1
le soleil;2
soleil;1
Connaît-Tout qu’;1
gésine;1
sourde-muette;1
Crotale on n’;1
j’aimerais qu’;1
puisqu’;1
Crotale éplorée;1
kwassa-kwassa;1
mer j’;1
Grande Terre;1
Petite Terre;1
c’;1
l’ongle;1
lourdes;1
t’avais salie;1
brûle-pourpoint;1
Anjouan de Mayotte;1
finiras-tu maintenant de baratiner;1
