San Perdido;99
s’;199
Kwinton;8
Jasmin;1
Place Dorée;24
Tue;2
t’;31
qu’;251
Ils l’;5
Salvación;2
Pleureuses;4
boulevard des Négriers;1
Ghanéenne;4
voie Palatina;8
Plateau Del Sol;21
l’;1107
San Perdido-la bien nommée;1
GI'S;1
Parfois;5
Le soleil;3
Lágrima;51
Felicia;61
Port Sangre;28
mer des Caraïbes;10
Américains;5
canal du Panama;3
Colombie;7
Nicaragua;1
Costa-Rica;1
Come;1
Swahili;2
Ngobe;1
Embera;1
Wounan;1
Teribe;1
Bri-bri;1
suie;1
U;1
La terre;1
La Langosta;69
Efia;22
Tonino;1
San Liguori;7
d’;15
Nabil;2
Taji;1
Docteurs;1
Guayacan;6
Dans l’;8
Soudain;14
terre l’;1
j’;20
Suis;1
OK;1
Aussitôt;4
Boerboel;1
petit l’;1
Gouverneur Lamberto;2
Esperanza;7
Français;2
Damoclès;1
Palais;71
Panama City;5
Lamberto;21
Courbant l’;1
Palais du gouverneur;2
Assise;3
Pall-Mall;8
Virginia;1
Winston;1
Captivée;1
Absorbée;1
Il l’;6
Allegra;1
Elle l’;3
port s’estompe;1
L’;20
Régulièrement;1
guayacan;1
puisqu’;1
Oni;1
San Liguori qu’;1
guanabara;1
rue Santa Clara;17
Esha;2
t’appelles-tu ?;1
Bonjour;1
lune;1
Négriers;16
babaco;1
Babaco;1
Augusto;127
canal de Panama;1
Maintenant;1
Emilio;13
Colón;4
Panama;23
Costa Rica;3
Amérique centrale;2
poubelle de l’enfer;1
vieux Gideon;1
Immobile;3
T’sais;1
t’es arriéré;1
Crevette;1
Combien;7
Où tu l’caches ton argent;1
Derrière;4
Lentement;3
Efia l’;1
ville n’;1
Ona;1
Batuuli;4
rue Baptista;7
On l’;3
Ina l’;1
Ina;5
C’;14
Anodin;1
Grillos;3
Ladrones;2
San Cristobal;2
terre;1
Portillo-Lopez;66
passage Nocturno;4
vie l’;1
Langosta l’;1
Parlerait;1
Ghana;1
Yumna;69
Tisha;10
Langosta s’;1
Gideon l’;1
Le Panama;1
Ciro;1
océan Pacifique;1
Ojete;2
Del Sol;3
Celles;1
port Sangre;3
Doucement;4
Estúpida;1
Amérindiens Kunas;2
Paciencia;1
man’;1
Plaza de Besos;12
rue Esperanza;1
Soberana;3
Amérique;2
besogne;1
Empire State Building;1
New-yorkaises;1
Mexique;1
Los Angeles;2
San Francisco;1
Portland;1
Hollywood Boulevard;1
Barberia;3
CAFE RUIZ;1
passerelle du cargo Ventura;1
charger;1
rue Barberia;17
Lamberto l’;1
Prudent;1
Abenabar;1
rue Abenabar savent qu’;1
ville de San Perdido;3
Fort;1
Portillo-Lopez s’;2
Habitué;2
Vieux;1
